"","date","cnt","reinf","eligible_for_reinf","third","eligible_for_third"
"1",2020-03-20,657,0,NA,0,NA
"2",2020-03-21,567,0,NA,0,NA
"3",2020-03-22,863,0,NA,0,NA
"4",2020-03-23,508,0,NA,0,NA
"5",2020-03-24,854,0,NA,0,NA
"6",2020-03-25,327,0,NA,0,NA
"7",2020-03-26,427,0,NA,0,NA
"8",2020-03-27,239,0,NA,0,NA
"9",2020-03-28,164,0,NA,0,NA
"10",2020-03-29,266,0,NA,0,NA
"11",2020-03-30,390,0,NA,0,NA
"12",2020-03-31,316,0,NA,0,NA
"13",2020-04-01,244,0,NA,0,NA
"14",2020-04-02,408,0,NA,0,NA
"15",2020-04-03,269,0,NA,0,NA
"16",2020-04-04,109,0,NA,0,NA
"17",2020-04-05,395,0,NA,0,NA
"18",2020-04-06,575,0,NA,0,NA
"19",2020-04-07,253,0,NA,0,NA
"20",2020-04-08,142,0,NA,0,NA
"21",2020-04-09,428,0,NA,0,NA
"22",2020-04-10,274,0,NA,0,NA
"23",2020-04-11,483,0,NA,0,NA
"24",2020-04-12,415,0,NA,0,NA
"25",2020-04-13,522,0,NA,0,NA
"26",2020-04-14,526,0,NA,0,NA
"27",2020-04-15,713,0,NA,0,NA
"28",2020-04-16,732,0,NA,0,NA
"29",2020-04-17,402,0,NA,0,NA
"30",2020-04-18,742,0,NA,0,NA
"31",2020-04-19,548,0,NA,0,NA
"32",2020-04-20,468,0,NA,0,NA
"33",2020-04-21,864,0,NA,0,NA
"34",2020-04-22,2101,0,NA,0,NA
"35",2020-04-23,1101,0,NA,0,NA
"36",2020-04-24,561,0,NA,0,NA
"37",2020-04-25,2539,0,NA,0,NA
"38",2020-04-26,657,0,NA,0,NA
"39",2020-04-27,417,0,NA,0,NA
"40",2020-04-28,886,0,NA,0,NA
"41",2020-04-29,978,0,NA,0,NA
"42",2020-04-30,1243,0,NA,0,NA
"43",2020-05-01,1081,0,NA,0,NA
"44",2020-05-02,1568,0,NA,0,NA
"45",2020-05-03,2732,0,NA,0,NA
"46",2020-05-04,887,0,NA,0,NA
"47",2020-05-05,1908,0,NA,0,NA
"48",2020-05-06,2387,0,NA,0,NA
"49",2020-05-07,3669,0,NA,0,NA
"50",2020-05-08,4547,0,NA,0,NA
"51",2020-05-09,4721,0,NA,0,NA
"52",2020-05-10,4811,0,NA,0,NA
"53",2020-05-11,4824,0,NA,0,NA
"54",2020-05-12,3828,0,NA,0,NA
"55",2020-05-13,1369,0,NA,0,NA
"56",2020-05-14,2812,0,NA,0,NA
"57",2020-05-15,6728,0,NA,0,NA
"58",2020-05-16,5159,0,NA,0,NA
"59",2020-05-17,2435,0,NA,0,NA
"60",2020-05-18,7944,0,NA,0,NA
"61",2020-05-19,3491,0,NA,0,NA
"62",2020-05-20,10267,0,NA,0,NA
"63",2020-05-21,11898,0,NA,0,NA
"64",2020-05-22,5682,0,NA,0,NA
"65",2020-05-23,3046,0,NA,0,NA
"66",2020-05-24,10462,0,NA,0,NA
"67",2020-05-25,6661,0,NA,0,NA
"68",2020-05-26,6337,0,NA,0,NA
"69",2020-05-27,12429,0,NA,0,NA
"70",2020-05-28,5419,0,NA,0,NA
"71",2020-05-29,8802,0,NA,0,NA
"72",2020-05-30,4839,0,NA,0,NA
"73",2020-05-31,5628,0,NA,0,NA
"74",2020-06-01,5823,0,NA,0,NA
"75",2020-06-02,6674,0,NA,0,NA
"76",2020-06-03,10227,0,NA,0,NA
"77",2020-06-04,9054,0,NA,0,NA
"78",2020-06-05,5305,0,NA,0,NA
"79",2020-06-06,14632,0,NA,0,NA
"80",2020-06-07,9252,0,NA,0,NA
"81",2020-06-08,13660,0,NA,0,NA
"82",2020-06-09,10426,0,NA,0,NA
"83",2020-06-10,8269,0,NA,0,NA
"84",2020-06-11,3551,0,NA,0,NA
"85",2020-06-12,22443,0,NA,0,NA
"86",2020-06-13,13426,0,NA,0,NA
"87",2020-06-14,40124,0,NA,0,NA
"88",2020-06-15,32480,0,NA,0,NA
"89",2020-06-16,14104,0,NA,0,NA
"90",2020-06-17,22656,0,657,0,0
"91",2020-06-18,11234,0,1224,0,0
"92",2020-06-19,31103,1,2087,0,0
"93",2020-06-20,21026,1,2594,0,0
"94",2020-06-21,20184,1,3447,0,0
"95",2020-06-22,32209,2,3773,0,0
"96",2020-06-23,30598,2,4198,0,0
"97",2020-06-24,46652,3,4435,0,0
"98",2020-06-25,72069,5,4596,0,0
"99",2020-06-26,40675,3,4857,0,0
"100",2020-06-27,23709,2,5244,0,0
"101",2020-06-28,58883,5,5558,0,0
"102",2020-06-29,18988,2,5797,0,0
"103",2020-06-30,13680,1,6203,0,0
"104",2020-07-01,70918,6,6471,0,0
"105",2020-07-02,27446,3,6574,0,0
"106",2020-07-03,48028,5,6966,0,0
"107",2020-07-04,98120,10,7536,0,0
"108",2020-07-05,55500,6,7779,0,0
"109",2020-07-06,31185,3,7915,0,0
"110",2020-07-07,12503,1,8340,0,0
"111",2020-07-08,63900,8,8613,0,0
"112",2020-07-09,30724,4,9088,0,0
"113",2020-07-10,71721,9,9499,0,0
"114",2020-07-11,86787,12,10012,0,0
"115",2020-07-12,22113,3,10526,0,0
"116",2020-07-13,60642,9,11236,0,0
"117",2020-07-14,54735,9,11959,0,0
"118",2020-07-15,89432,15,12352,0,0
"119",2020-07-16,49570,9,13079,0,0
"120",2020-07-17,68951,13,13618,0,0
"121",2020-07-18,62359,12,14073,0,0
"122",2020-07-19,33725,7,14925,0,0
"123",2020-07-20,50435,12,17019,0,0
"124",2020-07-21,46264,12,18108,0,0
"125",2020-07-22,43986,11,18657,0,0
"126",2020-07-23,36401,11,21185,0,0
"127",2020-07-24,28888,9,21831,0,0
"128",2020-07-25,67630,21,22239,0,0
"129",2020-07-26,33204,11,23104,0,0
"130",2020-07-27,46319,15,24071,0,0
"131",2020-07-28,22835,8,25299,0,0
"132",2020-07-29,66435,24,26372,0,0
"133",2020-07-30,19503,8,27916,0,0
"134",2020-07-31,53565,23,30640,0,0
"135",2020-08-01,13550,6,31504,0,0
"136",2020-08-02,28520,13,33406,0,0
"137",2020-08-03,14207,7,35780,0,0
"138",2020-08-04,26094,14,39442,0,0
"139",2020-08-05,9557,6,43975,0,0
"140",2020-08-06,5062,3,48690,0,0
"141",2020-08-07,21747,16,53498,0,0
"142",2020-08-08,32061,26,58306,0,0
"143",2020-08-09,42092,36,62108,0,0
"144",2020-08-10,30291,27,63441,0,0
"145",2020-08-11,15064,14,66226,0,0
"146",2020-08-12,13576,14,72940,0,0
"147",2020-08-13,19005,21,78085,0,0
"148",2020-08-14,10327,12,80499,0,0
"149",2020-08-15,13511,17,88431,0,0
"150",2020-08-16,4063,5,91905,0,0
"151",2020-08-17,7321,10,102167,0,0
"152",2020-08-18,12670,20,114055,0,0
"153",2020-08-19,44401,74,119717,0,0
"154",2020-08-20,14953,25,122689,0,0
"155",2020-08-21,26828,50,133126,0,0
"156",2020-08-22,15669,30,139737,0,0
"157",2020-08-23,14080,29,146044,0,0
"158",2020-08-24,10970,24,158444,0,0
"159",2020-08-25,3695,8,163839,0,0
"160",2020-08-26,22111,53,172633,0,0
"161",2020-08-27,21062,52,177419,0,0
"162",2020-08-28,20458,52,182995,0,0
"163",2020-08-29,6651,17,188766,0,0
"164",2020-08-30,10193,28,195423,0,0
"165",2020-08-31,9203,26,205622,0,0
"166",2020-09-01,6542,20,214650,0,0
"167",2020-09-02,10407,32,219935,0,0
"168",2020-09-03,5440,18,234535,0,0
"169",2020-09-04,8711,29,243769,0,0
"170",2020-09-05,9988,36,257400,0,0
"171",2020-09-06,5230,19,267790,0,0
"172",2020-09-07,3367,13,276040,0,0
"173",2020-09-08,11372,44,279578,0,0
"174",2020-09-09,3168,13,301977,0,0
"175",2020-09-10,12027,53,315390,0,0
"176",2020-09-11,9690,48,355461,0,0
"177",2020-09-12,20758,112,387893,0,0
"178",2020-09-13,8964,50,401885,0,0
"179",2020-09-14,12628,74,424491,0,0
"180",2020-09-15,8563,52,435651,0,0
"181",2020-09-16,4073,26,466702,0,1
"182",2020-09-17,4407,30,487702,0,2
"183",2020-09-18,8282,58,507856,0,3
"184",2020-09-19,15458,116,540007,0,5
"185",2020-09-20,9274,73,570489,0,7
"186",2020-09-21,6924,59,617068,0,10
"187",2020-09-22,11803,113,689078,0,15
"188",2020-09-23,18021,183,729640,0,18
"189",2020-09-24,15553,163,753166,0,20
"190",2020-09-25,7595,86,811886,0,25
"191",2020-09-26,12114,140,830788,0,27
"192",2020-09-27,4918,58,844328,0,28
"193",2020-09-28,9276,118,915188,0,34
"194",2020-09-29,9125,119,942516,0,37
"195",2020-09-30,6111,84,990425,0,42
"196",2020-10-01,6136,93,1088461,0,52
"197",2020-10-02,10465,166,1143868,0,58
"198",2020-10-03,5214,85,1174887,0,61
"199",2020-10-04,4823,80,1187305,0,62
"200",2020-10-05,7675,133,1251125,0,70
"201",2020-10-06,4321,77,1281716,0,74
"202",2020-10-07,4418,83,1353360,0,83
"203",2020-10-08,2788,56,1440064,0,95
"204",2020-10-09,4658,95,1462121,0,98
"205",2020-10-10,9880,209,1522668,0,107
"206",2020-10-11,9177,201,1577194,0,116
"207",2020-10-12,14007,324,1666425,0,131
"208",2020-10-13,4404,105,1715671,0,140
"209",2020-10-14,9373,232,1784517,0,153
"210",2020-10-15,8366,215,1846644,0,165
"211",2020-10-16,7977,208,1880154,0,172
"212",2020-10-17,7948,213,1930381,0,184
"213",2020-10-18,11209,308,1976432,0,196
"214",2020-10-19,6571,184,2020110,0,207
"215",2020-10-20,8805,251,2056327,0,218
"216",2020-10-21,11101,321,2084964,0,227
"217",2020-10-22,7978,238,2152273,0,248
"218",2020-10-23,12222,371,2185239,0,259
"219",2020-10-24,5724,177,2231187,0,274
"220",2020-10-25,17833,558,2253845,0,282
"221",2020-10-26,6475,209,2319722,0,306
"222",2020-10-27,4928,160,2339016,0,314
"223",2020-10-28,11318,376,2392421,0,337
"224",2020-10-29,10316,345,2405595,0,343
"225",2020-10-30,6976,236,2433770,0,356
"226",2020-10-31,7686,261,2447741,0,363
"227",2020-11-01,14448,496,2473574,0,377
"228",2020-11-02,8915,307,2482635,0,383
"229",2020-11-03,3034,105,2487390,0,386
"230",2020-11-04,10723,374,2509032,0,402
"231",2020-11-05,2866,101,2540719,0,428
"232",2020-11-06,8806,316,2582710,0,464
"233",2020-11-07,3043,110,2612685,0,491
"234",2020-11-08,6748,246,2627639,0,505
"235",2020-11-09,16097,590,2640969,0,519
"236",2020-11-10,16455,608,2659384,0,540
"237",2020-11-11,6048,224,2669103,0,552
"238",2020-11-12,8262,308,2682390,0,569
"239",2020-11-13,12227,456,2686145,0,574
"240",2020-11-14,11561,432,2693010,0,584
"241",2020-11-15,17810,669,2705248,0,604
"242",2020-11-16,5359,205,2748980,0,678
"243",2020-11-17,30535,1172,2763728,0,703
"244",2020-11-18,5883,228,2789384,0,753
"245",2020-11-19,13265,517,2804825,0,783
"246",2020-11-20,34668,1357,2818388,0,812
"247",2020-11-21,22387,879,2828001,0,836
"248",2020-11-22,2715,107,2830817,0,844
"249",2020-11-23,8530,338,2852821,0,897
"250",2020-11-24,10151,405,2873545,0,949
"251",2020-11-25,12981,522,2893598,0,1001
"252",2020-11-26,10869,438,2899727,0,1018
"253",2020-11-27,26368,1065,2909482,0,1046
"254",2020-11-28,19340,784,2917620,0,1072
"255",2020-11-29,7219,293,2923378,0,1092
"256",2020-11-30,35220,1435,2933492,0,1124
"257",2020-12-01,27745,1132,2937497,0,1142
"258",2020-12-02,22685,928,2945076,0,1171
"259",2020-12-03,2874,118,2954136,0,1207
"260",2020-12-04,11005,452,2959248,0,1226
"261",2020-12-05,15163,624,2962163,0,1239
"262",2020-12-06,20884,862,2972911,0,1283
"263",2020-12-07,37857,1564,2975217,0,1296
"264",2020-12-08,29860,1238,2985680,0,1349
"265",2020-12-09,39587,1646,2994132,0,1397
"266",2020-12-10,43950,1839,3013244,0,1509
"267",2020-12-11,22846,958,3020369,0,1559
"268",2020-12-12,18066,761,3032039,0,1633
"269",2020-12-13,67131,2834,3039841,0,1685
"270",2020-12-14,17420,736,3041080,0,1711
"271",2020-12-15,44697,1890,3044751,0,1741
"272",2020-12-16,80618,3416,3051143,0,1799
"273",2020-12-17,96926,4123,3063185,0,1915
"274",2020-12-18,26927,1147,3068336,0,1988
"275",2020-12-19,65769,2808,3074113,0,2047
"276",2020-12-20,51757,2216,3083108,0,2160
"277",2020-12-21,12811,551,3098913,0,2343
"278",2020-12-22,32111,1389,3113915,0,2506
"279",2020-12-23,28171,1221,3120121,0,2592
"280",2020-12-24,55254,2402,3131014,0,2732
"281",2020-12-25,22533,981,3133530,0,2790
"282",2020-12-26,36411,1589,3141825,0,2908
"283",2020-12-27,7379,323,3149361,0,3027
"284",2020-12-28,48732,2135,3155149,0,3111
"285",2020-12-29,66105,2900,3159150,0,3204
"286",2020-12-30,72253,3177,3166715,0,3370
"287",2020-12-31,43743,1925,3168752,0,3455
"288",2021-01-01,105470,4645,3171650,0,3535
"289",2021-01-02,73045,3220,3174680,0,3668
"290",2021-01-03,106458,4695,3175781,0,3745
"291",2021-01-04,140806,6209,3175504,0,3828
"292",2021-01-05,80838,3561,3172083,0,3884
"293",2021-01-06,127099,5601,3173180,0,3979
"294",2021-01-07,150566,6644,3177459,0,4188
"295",2021-01-08,184007,8126,3179992,0,4389
"296",2021-01-09,28524,1262,3185873,0,4713
"297",2021-01-10,154144,6826,3189015,0,4818
"298",2021-01-11,137350,6087,3191562,0,5050
"299",2021-01-12,132705,5886,3193841,0,5265
"300",2021-01-13,86139,3823,3195932,0,5473
"301",2021-01-14,60144,2673,3200057,0,5686
"302",2021-01-15,73725,3285,3208593,0,5994
"303",2021-01-16,77390,3452,3211879,0,6178
"304",2021-01-17,52529,2347,3217232,0,6429
"305",2021-01-18,74683,3346,3225986,0,6750
"306",2021-01-19,57618,2585,3230618,0,6988
"307",2021-01-20,33208,1494,3240255,0,7359
"308",2021-01-21,39431,1777,3244485,0,7536
"309",2021-01-22,76867,3480,3260541,0,8094
"310",2021-01-23,35370,1603,3263536,0,8303
"311",2021-01-24,12196,553,3266861,0,8463
"312",2021-01-25,41593,1893,3277626,0,8839
"313",2021-01-26,34472,1573,3286049,0,9184
"314",2021-01-27,9783,447,3291452,0,9420
"315",2021-01-28,50975,2335,3298691,0,9681
"316",2021-01-29,6821,314,3310804,0,10177
"317",2021-01-30,35526,1638,3319405,0,10484
"318",2021-01-31,11917,550,3320801,0,10589
"319",2021-02-01,15618,722,3330974,0,10963
"320",2021-02-02,13320,617,3333118,0,11064
"321",2021-02-03,25462,1181,3341307,0,11380
"322",2021-02-04,21323,990,3343169,0,11490
"323",2021-02-05,8571,399,3348927,0,11736
"324",2021-02-06,25737,1203,3364625,0,12326
"325",2021-02-07,3717,174,3379877,0,12934
"326",2021-02-08,16082,756,3385751,0,13158
"327",2021-02-09,15108,712,3393257,0,13466
"328",2021-02-10,19522,923,3404772,0,13922
"329",2021-02-11,4904,233,3415410,0,14354
"330",2021-02-12,10633,507,3432987,0,15023
"331",2021-02-13,12349,590,3437839,0,15228
"332",2021-02-14,12275,591,3467784,0,16400
