"pscale","lambda_con","kappa_con","lambda_2_con","proportion","date_first","seed"
1,1.06228576580906,1.0035070317285,1.03173348742558,0.0033112582781457,NA,15
1.2,1.05395321036042,1.00071463061731,1.04715013722146,0,NA,15
1.4,1.06245720343657,1.00394882064128,1.01590051210462,0,NA,15
1.6,1.06474536570241,1.00092838933735,1.01777595663718,0.0198675496688742,85,15
1.8,1.07986224270931,1.00326382812941,1.00825586404679,0.0132450331125828,NA,15
2,1.04351894725045,1.00198820818973,1.02452523332776,0.0132450331125828,NA,15
2.2,1.04973277459237,1.00432304731328,1.02502557147638,0,NA,15
2.4,1.05639573594693,1.00215544261857,1.02872154287841,0.00662251655629139,NA,15
2.6,1.04772798808285,1.00407684624495,1.03446384502352,0.00993377483443709,NA,15
2.8,1.04786301328478,1.00204940163796,1.02960295910201,0.00993377483443709,NA,15
3,1.04740074748377,1.00435020429504,1.04953376624881,0,NA,15
